,index,Rozegrane mecze,Sety,Punkty,Zagrywka_Suma,Zagrywka_As,Zagrywka_Błąd,Zagrywka_Asy na set,Przyjęcie_Suma,Przyjęcie_Błąd,Przyjęcie_Neg,Przyjęcie_Perf,Przyjęcie_% perf,Atak_Suma,Atak_Błąd,Atak_Blok,Atak_Perf,Atak_% perf,Blok_Pkt,Blok_Pkt na set,Gracz,Liczba sezonów w lidze,Liczba meczy w lidze,Liczba pkt w lidze,Liczba asów w lidze,Liczba bloków w lidze
0,0,Asseco Resovia Rzeszów -BKS Visła Bydgoszcz,3.0,1.0,4.0,1.0,0.0,"0,33",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
1,1,Asseco Resovia Rzeszów -MKS Będzin,4.0,1.0,8.0,1.0,3.0,"0,25",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
2,2,Asseco Resovia Rzeszów -Grupa Azoty ZAKSA Kędzierzyn-Koźle,2.0,0.0,2.0,0.0,2.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
3,3,Asseco Resovia Rzeszów -Cerrad Enea Czarni Radom,3.0,4.0,6.0,0.0,2.0,"0,00",13.0,2.0,3.0,3.0,"23,08",4.0,0.0,0.0,4.0,"100,00",0.0,"0,00",Alek Achrem,9,166,2007,152,181
4,0,Indykpol AZS Olsztyn -Cerrad Enea Czarni Radom,5.0,5.0,16.0,0.0,4.0,"0,00",23.0,0.0,6.0,7.0,"30,43",13.0,0.0,2.0,4.0,"30,77",1.0,"0,20",Robbert Andringa,3,72,642,34,97
5,1,Indykpol AZS Olsztyn -Aluron Virtu CMC Zawiercie,4.0,10.0,12.0,0.0,3.0,"0,00",26.0,3.0,5.0,6.0,"23,08",18.0,0.0,1.0,10.0,"55,56",0.0,"0,00",Robbert Andringa,3,72,642,34,97
6,2,Indykpol AZS Olsztyn -Asseco Resovia Rzeszów,4.0,7.0,11.0,0.0,2.0,"0,00",14.0,0.0,5.0,3.0,"21,43",15.0,1.0,3.0,4.0,"26,67",3.0,"0,75",Robbert Andringa,3,72,642,34,97
7,3,Indykpol AZS Olsztyn -GKS Katowice,5.0,12.0,19.0,2.0,4.0,"0,40",21.0,1.0,5.0,2.0,"9,52",23.0,0.0,3.0,9.0,"39,13",1.0,"0,20",Robbert Andringa,3,72,642,34,97
8,4,Indykpol AZS Olsztyn -Trefl Gdańsk,2.0,1.0,6.0,0.0,2.0,"0,00",9.0,0.0,0.0,0.0,"0,00",10.0,2.0,2.0,1.0,"10,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
9,5,Indykpol AZS Olsztyn -Ślepsk Malow Suwałki,2.0,7.0,5.0,0.0,2.0,"0,00",12.0,0.0,2.0,3.0,"25,00",11.0,2.0,0.0,5.0,"45,45",2.0,"1,00",Robbert Andringa,3,72,642,34,97
10,6,Indykpol AZS Olsztyn -Cuprum Lubin,3.0,0.0,1.0,0.0,1.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
11,7,Indykpol AZS Olsztyn -BKS Visła Bydgoszcz,4.0,2.0,1.0,0.0,0.0,"0,00",5.0,0.0,1.0,2.0,"40,00",3.0,0.0,0.0,2.0,"66,67",0.0,"0,00",Robbert Andringa,3,72,642,34,97
12,8,Indykpol AZS Olsztyn -MKS Będzin,5.0,13.0,17.0,3.0,3.0,"0,60",15.0,0.0,3.0,5.0,"33,33",25.0,2.0,2.0,10.0,"40,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
13,9,Indykpol AZS Olsztyn -Grupa Azoty ZAKSA Kędzierzyn-Koźle,4.0,13.0,12.0,0.0,3.0,"0,00",12.0,0.0,3.0,2.0,"16,67",25.0,1.0,0.0,12.0,"48,00",1.0,"0,25",Robbert Andringa,3,72,642,34,97
14,10,Indykpol AZS Olsztyn -VERVA Warszawa ORLEN Paliwa,4.0,6.0,15.0,0.0,4.0,"0,00",7.0,0.0,2.0,1.0,"14,29",16.0,1.0,1.0,5.0,"31,25",1.0,"0,25",Robbert Andringa,3,72,642,34,97
15,11,Indykpol AZS Olsztyn -Jastrzębski Węgiel,3.0,5.0,11.0,0.0,4.0,"0,00",10.0,0.0,4.0,0.0,"0,00",14.0,0.0,2.0,5.0,"35,71",0.0,"0,00",Robbert Andringa,3,72,642,34,97
16,12,Indykpol AZS Olsztyn -PGE Skra Bełchatów,3.0,7.0,12.0,0.0,1.0,"0,00",17.0,2.0,1.0,7.0,"41,18",12.0,1.0,3.0,6.0,"50,00",1.0,"0,33",Robbert Andringa,3,72,642,34,97
17,13,Indykpol AZS Olsztyn -Aluron Virtu CMC Zawiercie,4.0,9.0,11.0,0.0,2.0,"0,00",26.0,2.0,6.0,7.0,"26,92",14.0,1.0,3.0,7.0,"50,00",2.0,"0,50",Robbert Andringa,3,72,642,34,97
18,14,Indykpol AZS Olsztyn -Asseco Resovia Rzeszów,4.0,8.0,10.0,0.0,3.0,"0,00",22.0,3.0,7.0,6.0,"27,27",13.0,1.0,1.0,6.0,"46,15",2.0,"0,50",Robbert Andringa,3,72,642,34,97
19,15,Indykpol AZS Olsztyn -GKS Katowice,5.0,10.0,18.0,0.0,1.0,"0,00",19.0,1.0,3.0,5.0,"26,32",13.0,0.0,0.0,7.0,"53,85",3.0,"0,60",Robbert Andringa,3,72,642,34,97
20,16,Indykpol AZS Olsztyn -Trefl Gdańsk,3.0,9.0,9.0,1.0,1.0,"0,33",20.0,1.0,10.0,2.0,"10,00",15.0,1.0,1.0,6.0,"40,00",2.0,"0,67",Robbert Andringa,3,72,642,34,97
21,17,Indykpol AZS Olsztyn -Ślepsk Malow Suwałki,4.0,13.0,13.0,1.0,4.0,"0,25",22.0,1.0,7.0,7.0,"31,82",17.0,0.0,2.0,10.0,"58,82",2.0,"0,50",Robbert Andringa,3,72,642,34,97
22,18,Indykpol AZS Olsztyn -Cuprum Lubin,3.0,9.0,17.0,0.0,2.0,"0,00",14.0,1.0,4.0,4.0,"28,57",15.0,1.0,2.0,9.0,"60,00",0.0,"0,00",Robbert Andringa,3,72,642,34,97
23,19,Indykpol AZS Olsztyn -VERVA Warszawa ORLEN Paliwa,4.0,15.0,16.0,0.0,4.0,"0,00",11.0,0.0,3.0,2.0,"18,18",29.0,1.0,3.0,14.0,"48,28",1.0,"0,25",Robbert Andringa,3,72,642,34,97
24,0,Aluron Virtu CMC Zawiercie -Cuprum Lubin,1.0,0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
25,1,Aluron Virtu CMC Zawiercie -MKS Będzin,4.0,0.0,0.0,0.0,0.0,"0,00",15.0,0.0,3.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
26,2,Aluron Virtu CMC Zawiercie -Grupa Azoty ZAKSA Kędzierzyn-Koźle,4.0,0.0,0.0,0.0,0.0,"0,00",3.0,1.0,0.0,1.0,"33,33",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
27,3,Aluron Virtu CMC Zawiercie -VERVA Warszawa ORLEN Paliwa,3.0,0.0,0.0,0.0,0.0,"0,00",2.0,1.0,1.0,0.0,"0,00",0.0,0.0,0.0,0.0,"0,00",0.0,"0,00",Krzysztof Andrzejewski,6,132,2,1,0
